AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2019;11;Comunidad de Madrid;Asia;Kuwait;309.0;1761.0;5.7
2019;11;Comunidad de Madrid;Asia;Líbano;408.0;1754.0;4.3
2019;11;Comunidad de Madrid;Asia;Malasia;587.0;3111.0;5.3
2019;11;Comunidad de Madrid;Asia;Omán;151.0;725.0;4.8
2019;11;Comunidad de Madrid;Asia;Otros países de Asia;573.0;3553.0;6.2
2019;11;Comunidad de Madrid;Asia;Pakistán;70.0;399.0;5.7
2019;11;Comunidad de Madrid;Asia;Qatar;1088.0;3917.0;3.6
2019;11;Comunidad de Madrid;Asia;Singapur;826.0;5286.0;6.4
2019;11;Comunidad de Madrid;Asia;Siria;48.0;312.0;6.5
2019;11;Comunidad de Madrid;Asia;Sri Lanka;48.0;269.0;5.6
2019;11;Comunidad de Madrid;Asia;Tailandia;854.0;7942.0;9.3
2019;11;Comunidad de Madrid;Asia;Vietnam;255.0;1505.0;5.9
2019;11;Comunidad de Madrid;Europa;Albania;127.0;559.0;4.4
2019;11;Comunidad de Madrid;Europa;Alemania;39946.0;383482.0;9.6
2019;11;Comunidad de Madrid;Europa;Andorra;461.0;2674.0;5.8
2019;11;Comunidad de Madrid;Europa;Armenia;51.0;321.0;6.3
2019;11;Comunidad de Madrid;Europa;Austria;22994.0;420790.0;18.3
2019;11;Comunidad de Madrid;Europa;Belarús;161.0;741.0;4.6
2019;11;Comunidad de Madrid;Europa;Bosnia y Herzegovina;64.0;198.0;3.1
2019;11;Comunidad de Madrid;Europa;Bulgaria;2235.0;15198.0;6.8
2019;11;Comunidad de Madrid;Europa;Bélgica;14532.0;78473.0;5.4
2019;11;Comunidad de Madrid;Europa;Chipre;295.0;1564.0;5.3
2019;11;Comunidad de Madrid;Europa;Croacia;1087.0;5435.0;5.0
2019;11;Comunidad de Madrid;Europa;Dinamarca;6492.0;60376.0;9.3
2019;11;Comunidad de Madrid;Europa;Eslovenia;544.0;2611.0;4.8
2019;11;Comunidad de Madrid;Europa;Estonia;739.0;4656.0;6.3
2019;11;Comunidad de Madrid;Europa;Finlandia;1400.0;7000.0;5.0
2019;11;Comunidad de Madrid;Europa;Francia;79731.0;669740.0;8.4
2019;11;Comunidad de Madrid;Europa;Georgia;199.0;995.0;5.0
2019;11;Comunidad de Madrid;Europa;Grecia;2382.0;12386.0;5.2
2019;11;Comunidad de Madrid;Europa;Hungría;2295.0;10787.0;4.7
2019;11;Comunidad de Madrid;Europa;Irlanda;4248.0;18266.0;4.3
2019;11;Comunidad de Madrid;Europa;Islandia;137.0;849.0;6.2
2019;11;Comunidad de Madrid;Europa;Italia;39435.0;197175.0;5.0
2019;11;Comunidad de Madrid;Europa;Letonia;539.0;3611.0;6.7
2019;11;Comunidad de Madrid;Europa;Liechtenstein;1020.0;12240.0;12.0
2019;11;Comunidad de Madrid;Europa;Lituania;982.0;4812.0;4.9
2019;11;Comunidad de Madrid;Europa;Luxemburgo;5609.0;76843.0;13.7
2019;11;Comunidad de Madrid;Europa;Macedonia del Norte;75.0;218.0;2.9
2019;11;Comunidad de Madrid;Europa;Malta;817.0;3758.0;4.6
2019;11;Comunidad de Madrid;Europa;Moldavia;196.0;1568.0;8.0
2019;11;Comunidad de Madrid;Europa;Noruega;2545.0;16288.0;6.4
2019;11;Comunidad de Madrid;Europa;Países Bajos;48450.0;436050.0;9.0
2019;11;Comunidad de Madrid;Europa;Polonia;7196.0;38139.0;5.3
